actid activityname subject tBodyAcc-mean-X tBodyAcc-mean-Y tBodyAcc-mean-Z tBodyAcc-std-X tBodyAcc-std-Y tBodyAcc-std-Z tGravityAcc-mean-X tGravityAcc-mean-Y tGravityAcc-mean-Z tGravityAcc-std-X tGravityAcc-std-Y tGravityAcc-std-Z tBodyAccJerk-mean-X tBodyAccJerk-mean-Y tBodyAccJerk-mean-Z tBodyAccJerk-std-X tBodyAccJerk-std-Y tBodyAccJerk-std-Z tBodyGyro-mean-X tBodyGyro-mean-Y tBodyGyro-mean-Z tBodyGyro-std-X tBodyGyro-std-Y tBodyGyro-std-Z tBodyGyroJerk-mean-X tBodyGyroJerk-mean-Y tBodyGyroJerk-mean-Z tBodyGyroJerk-std-X tBodyGyroJerk-std-Y tBodyGyroJerk-std-Z tBodyAccMag-mean tBodyAccMag-std tGravityAccMag-mean tGravityAccMag-std tBodyAccJerkMag-mean tBodyAccJerkMag-std tBodyGyroMag-mean tBodyGyroMag-std tBodyGyroJerkMag-mean tBodyGyroJerkMag-std fBodyAcc-mean-X fBodyAcc-mean-Y fBodyAcc-mean-Z fBodyAcc-std-X fBodyAcc-std-Y fBodyAcc-std-Z fBodyAcc-meanFreq-X fBodyAcc-meanFreq-Y fBodyAcc-meanFreq-Z fBodyAccJerk-mean-X fBodyAccJerk-mean-Y fBodyAccJerk-mean-Z fBodyAccJerk-std-X fBodyAccJerk-std-Y fBodyAccJerk-std-Z fBodyAccJerk-meanFreq-X fBodyAccJerk-meanFreq-Y fBodyAccJerk-meanFreq-Z fBodyGyro-mean-X fBodyGyro-mean-Y fBodyGyro-mean-Z fBodyGyro-std-X fBodyGyro-std-Y fBodyGyro-std-Z fBodyGyro-meanFreq-X fBodyGyro-meanFreq-Y fBodyGyro-meanFreq-Z fBodyAccMag-mean fBodyAccMag-std fBodyAccMag-meanFreq fBodyBodyAccJerkMag-mean fBodyBodyAccJerkMag-std fBodyBodyAccJerkMag-meanFreq fBodyBodyGyroMag-mean fBodyBodyGyroMag-std fBodyBodyGyroMag-meanFreq fBodyBodyGyroJerkMag-mean fBodyBodyGyroJerkMag-std fBodyBodyGyroJerkMag-meanFreq
1 WALKING 1 1.23394474912996 1.39150176311845 1.43690839079226 1.47560044776944 1.37608830205707 1.45749657864203 0.950639997746677 1.48736585783373 1.43589627788224 1.78628204633457 1.8117294265686 1.80745672306028 1.3209484368946 1.37197989231701 1.39859569284904 1.45427744727405 1.39750733850842 1.59425778901613 1.36433946669746 1.41769273011433 1.35698718798497 1.58488848564293 1.42613171554338 1.51660546760898 1.39879058725841 1.41008308944687 1.41145076536979 1.46883240491959 1.56705375947926 1.55701056662454 1.40868022386663 1.48235504792883 1.44313113451164 1.45424690256512 1.47934038240981 1.44611244887826 1.44027465839797 1.47935721574814 1.55537933013809 1.53625588337751 1.475909262532 1.38618252805094 1.46399670902103 1.51591057660981 1.4097280470448 1.43130069112622 1.51109543926888 1.32752312182077 1.34631772041639 1.48978294257785 1.4352568320555 1.5360182542144 1.50562318339367 1.39945205911797 1.58301785723025 1.48750056600923 1.51739570899111 1.4106823280055 1.5455427734245 1.47573087218103 1.46414850928155 1.63527952334093 1.41220392856275 1.51848774187348 1.35130487553718 1.47201334769033 1.36405164156812 1.46423368311471 1.55291045300264 1.32149187953313 1.4299587448094 1.46183488868056 1.33565152460444 1.50046929659079 1.53107826545797 1.29479184671947 1.56865383762912 1.58435722898967 1.31396823402544
1 WALKING 3 1.26765428571468 1.42928265610366 1.4867901519224 1.54562897689356 1.39685032528881 1.52461875778927 0.945057109526995 1.54249446457354 1.46727556263853 1.87317090691702 1.89002839264128 1.89150871367314 1.36643788032749 1.41600311699198 1.42625974866493 1.52949193848374 1.43820017556173 1.62712505477578 1.4112714691167 1.45763715575666 1.39600771442314 1.58163833218741 1.53175082050403 1.57255129004293 1.46004355083139 1.44219529895093 1.45088544850748 1.53582007150647 1.64340260254626 1.63148021140628 1.46583336890692 1.55055750490952 1.50021869624954 1.52895891029963 1.52543257381952 1.50239877264762 1.48259849939975 1.55030143357119 1.63133618552768 1.60701738185339 1.56129725396782 1.41983223404469 1.5303158366833 1.57019443771723 1.43717163376229 1.50149077160852 1.56290196959846 1.40497082578616 1.35374783435899 1.56538653846198 1.48676732126466 1.5780226563918 1.5680896870455 1.44389941826378 1.60733492200614 1.53807378509582 1.5927013461561 1.51400837864576 1.55051552154098 1.57407024141845 1.52879586065163 1.62188378701313 1.53236477858927 1.57425426775867 1.46641009910283 1.50511093442924 1.42596697843257 1.53062700439553 1.63096818250012 1.33509137198172 1.49722364846251 1.49726991783842 1.40481386480949 1.57826113837462 1.60541528995466 1.36331788397286 1.64700286580257 1.63886024581067 1.36743887448312
1 WALKING 5 1.19240775574583 1.32083210532758 1.30535107784533 1.40724621742761 1.30473230621886 1.37471972936884 0.971047934255759 1.36680739957764 1.2724082743245 1.63422101577894 1.65126856801803 1.59943909892712 1.25988844673357 1.31257813086522 1.27083848554473 1.40705398341503 1.37665571662631 1.46436278855626 1.29866554948808 1.33914348588347 1.2433558423993 1.44728298088159 1.45435140037333 1.36833336152646 1.32855098012843 1.32460432893088 1.28079481729113 1.40121876020278 1.52587757902797 1.39548425717877 1.34933023758927 1.4437192248783 1.3235933492805 1.42091022694384 1.42317932397565 1.37582235664311 1.38447045668755 1.46431399636638 1.43291255232116 1.48364920162 1.43672832793724 1.28371569100063 1.44081000902066 1.42813766061737 1.26484242388331 1.39853974785516 1.42194958947433 1.29019817714434 1.30083640284528 1.44051273907962 1.35720671852722 1.48256206150079 1.44011143510015 1.31608326939003 1.49736250673258 1.40080779757631 1.44858748456255 1.40189142576271 1.42718697160645 1.42895484346517 1.38613641938126 1.48473601268029 1.39495492072854 1.42078681492463 1.34072730293737 1.33114108482679 1.31449104680847 1.43201205108227 1.43693589660924 1.2618479975446 1.42543996391969 1.3772869932402 1.24909359794914 1.47723211323989 1.44251499289732 1.25095705309417 1.51833006491539 1.45540960845692 1.25645478715122
1 WALKING 6 1.10484159562677 1.28672038753199 1.21093279451966 1.29365378363692 1.31709231788265 1.22214736797855 0.932069732365227 1.33644551486441 1.2063094978162 1.44232069587292 1.54086738273918 1.43675734286735 1.15632112095307 1.27869266967788 1.18934909441341 1.33512522913107 1.34149987400407 1.28928795156274 1.1886750035475 1.30144107922881 1.15577806891075 1.31920059542061 1.42021474082887 1.23927982822581 1.21002988193761 1.28514087229148 1.19808510918966 1.301989867556 1.4595551029921 1.30585298389781 1.24210453342461 1.4062616885761 1.24272520515751 1.30414359709446 1.38239459823641 1.30931775981381 1.27095985210446 1.40450104649794 1.33128150119043 1.35520316733138 1.40635407814502 1.21886193115437 1.25048755689569 1.39147008058502 1.22853550507874 1.22436554385323 1.40772336295364 1.19967354567123 1.17167940479935 1.43729751274041 1.26073804660363 1.28451439451907 1.44708897147241 1.23148793931855 1.292576651796 1.37526484742678 1.28650644047566 1.26327451833258 1.40321605322317 1.32951063628274 1.25390652454923 1.42767262221302 1.31452708661812 1.25285709754677 1.33767747260204 1.20580197602951 1.24781054432215 1.40773195436502 1.32540561237504 1.18569883942048 1.41058184709198 1.3116167491332 1.17088590455526 1.42388002376004 1.31501703077812 1.18873116068769 1.45895571363687 1.36087635166674 1.17173908526283
1 WALKING 7 1.29639355679979 1.36135732526486 1.55127123762342 1.5763529545232 1.38672973091102 1.55625352504225 0.969254767156934 1.43757408216849 1.56720042365557 1.91370840559849 1.82679858898667 1.96518935443381 1.40041556950982 1.34673888857173 1.51008860819096 1.59515828347025 1.42690374056167 1.6551506910981 1.4398555240782 1.39440927935329 1.45659252070238 1.64050489839395 1.48839953311654 1.6365792916981 1.4805087098394 1.37888767264446 1.53280527193998 1.62162210997154 1.54485109212596 1.73714915830719 1.49366018118908 1.51817870189472 1.56056283145297 1.59900122568187 1.45661025643502 1.62881654066466 1.53293157188291 1.49256231888602 1.69133546385719 1.62636080738986 1.50563401482239 1.54048105135794 1.5249473191184 1.49200006523862 1.56067576395768 1.50543187108421 1.53576411549901 1.4979215764774 1.38985192590174 1.53566760348342 1.60487435153479 1.58377232973057 1.521543457687 1.57000611443372 1.59280305650888 1.51766498177271 1.67976868090946 1.59529179040109 1.51271005544446 1.65629162330134 1.57870118742356 1.5760328156531 1.62844163520816 1.59956096080953 1.41084940197563 1.52793035408154 1.522018107387 1.48540309275833 1.73710965483966 1.35268011109443 1.47737951286167 1.63756455009073 1.38051179730213 1.50659351255063 1.69322657419647 1.34679992142833 1.56072543997433 1.69589246362407 1.37015791715395
1 WALKING 8 1.38716821694152 1.62615472547914 1.70394471549959 1.74272382927283 1.62564911717107 1.76983541393091 0.93436629653748 1.75097329038895 1.70920895549959 2.23119679482031 2.27022721984349 2.26762575080262 1.47799964279061 1.60862548509703 1.60073501415637 1.74667655316374 1.69759329919299 1.9069750389006 1.5955291291297 1.659840504194 1.57546647365515 1.81097184690112 1.79470306374965 1.83444268623697 1.60866410071021 1.64930847921804 1.6470051133198 1.78284351186071 1.92096073005561 1.95351628571171 1.64603110531526 1.81811450363137 1.70525276665111 1.76983123527485 1.7591395464142 1.7830906905501 1.68156434488798 1.82516156139905 1.90351490301475 1.86452797353142 1.78198956175258 1.63868547990717 1.75125881319102 1.79511988245965 1.67806661917222 1.73137830614859 1.86921262746167 1.61035515229616 1.50884308756061 1.82426702960006 1.74285137761879 1.83161543307283 1.80933610534854 1.71157760560323 1.8634674687698 1.87340696006683 1.86191191980262 1.74849855175061 1.79112655772228 1.85867758415616 1.76813824001223 1.88253536511319 1.78107053233798 1.82169413108293 1.70142123524349 1.73979178213495 1.67817054311122 1.77898752248844 1.92686799797434 1.49398063592435 1.76903327072228 1.79314743581171 1.5363891319193 1.85112885795056 1.90042212466121 1.47050937920718 1.93162625044955 1.92875642489353 1.52121494806071
2 WALKING_UPSTAIRS 8 1.33285425935443 1.61601051234526 1.76033921416242 1.65917556633356 1.57312069168092 1.77785068506406 0.930473693870918 1.81256863177818 1.79224000426764 2.1411823584863 2.21363959997598 2.26609511403439 1.46160386035009 1.58774839813532 1.68479174629868 1.73767523801927 1.77166351723862 2.10210933815527 1.5029896133385 1.67345184340675 1.64122425751978 1.79973713367476 1.81629799367872 1.80923902246626 1.58441724654784 1.62002829981636 1.70511989879264 1.83346182114784 2.03770004898697 2.02072994509374 1.55601821459669 1.74671252618655 1.71986204899093 1.65903654282874 1.83585002036609 1.92336975038165 1.61749398281834 1.79036044047664 2.05732529535308 1.941774295794 1.77499767739691 1.71537267571297 1.75109368421158 1.73733352363949 1.66147870102742 1.59138597808103 1.87471728608477 1.7716267991267 1.70987856306323 1.83810161162982 1.8714188096322 1.9149742940907 1.85289504456202 1.85631711982176 1.96083860167312 1.80807355682499 1.98542712431461 1.82454446244784 1.82273125249521 1.96434445870967 1.67663202466432 1.91058558460785 1.85997887159209 1.68785293676432 1.73670729956444 1.89715436243769 1.66250574806213 1.74720623599653 1.90528933974319 1.52143760068251 1.81607967099521 1.9710677748311 1.43875480190718 1.8653260031518 1.90219105113604 1.61710793276872 2.02056193486609 2.13581470128714 1.44738271215498
2 WALKING_UPSTAIRS 11 1.45176825873038 1.58415281638832 1.6134231425763 1.77491661029311 1.57397697366142 1.5729369762963 1.06824133834747 1.76403100108611 1.63619263703403 2.22208014034114 2.15584972670952 2.10986755247788 1.57125805639608 1.5502962728457 1.53676915420605 1.86554103125254 1.78926445696361 1.93855010387029 1.62623520262795 1.61240872446016 1.49583250296428 1.91717123460697 1.71350149561585 1.69453539935098 1.68212030081643 1.59210730031095 1.56786301945064 1.96826166004716 1.98418286993737 1.89309834891459 1.66594718263981 1.70731408843959 1.58476744563098 1.76015866735602 1.82677272953231 1.79456167896523 1.70648173426019 1.71743784280478 1.91796748251902 2.04190605059431 1.76633829996807 1.63515737183421 1.83357820974874 1.70641978500952 1.54334489791162 1.61698888369652 1.8649064362032 1.67061968433554 1.83530649815747 1.82829368540826 1.77898540595985 1.9997519792114 1.83184764416839 1.77007669824972 2.03911366201836 1.78597394618421 1.82472576564244 1.93436633246773 1.82654557508927 1.80345457285399 1.81196275622817 1.87967548193421 1.63268125605605 1.81149185521171 1.72369635990509 1.7815081594013 1.79140144505222 1.72882159001554 1.7455056853608 1.68788584191551 1.80943473719687 1.81621504427864 1.59300803559944 1.81715483158389 1.71260677370383 1.76117768760852 1.98465363360826 1.98280602399687 1.58078404371988
2 WALKING_UPSTAIRS 14 1.22966794652872 1.41860579903059 1.32869942255345 1.45666509617299 1.42648173511883 1.28993713089215 0.986407883354107 1.52382256683255 1.35508384156313 1.72694594440674 1.78903597907403 1.64601697277234 1.3153814504346 1.41466173380186 1.275516791235 1.54199074615596 1.59911708356722 1.53405946262682 1.30478541563553 1.45893542523316 1.28485968267286 1.5393965984668 1.53402311230905 1.37848744359902 1.40262255554073 1.42162121419564 1.29192970662156 1.60361908226123 1.68756884749508 1.55597366368608 1.37782158036445 1.52818091446381 1.3161681696898 1.4600008727377 1.60529444262976 1.49342482574633 1.40990480286494 1.51066508666722 1.54893058647543 1.62989410852439 1.56944406460592 1.36512229658738 1.46456232402036 1.50901143753425 1.28941285570497 1.33003805446494 1.6294442336375 1.39107458945314 1.49291014477087 1.6205149271149 1.47380888531073 1.58176730895782 1.61744939588642 1.47993381753952 1.60904358307547 1.57404682306412 1.47879164655624 1.56793029745132 1.59385819475174 1.45869765121599 1.48819197427887 1.61495517028363 1.38125067386398 1.45502049993243 1.51183453803868 1.41935410472311 1.50700155662996 1.54755031960623 1.43323123025531 1.41633432594788 1.61133461358549 1.51179107251227 1.30793108303367 1.58889812724864 1.38673841721785 1.46432773125646 1.69423315836196 1.58261291959896 1.31259555927052
2 WALKING_UPSTAIRS 15 1.2017960309044 1.14526742197738 1.37336339647769 1.30255617394687 1.12975539506732 1.34515316262159 1.00389699221843 1.22442544045086 1.37769768533473 1.5710749580416 1.42264353144171 1.61796304977342 1.23746953504794 1.12743354274848 1.34632688871961 1.36695758430867 1.24775533764476 1.52063308999598 1.23811987987117 1.18994530983677 1.32509610045811 1.41749149192879 1.2114319631347 1.43112438450244 1.31882484675532 1.14928371290055 1.37035763991845 1.42953861814526 1.32177800689903 1.52362680946366 1.26295377546462 1.18189667841702 1.32365171664766 1.32465182019983 1.23896027650025 1.45983250539842 1.31564811293001 1.19143868440696 1.51195348733744 1.47362159294099 1.19426093299842 1.37990919899687 1.36969068074282 1.14736598411656 1.33085009882205 1.26939663757422 1.28060912965055 1.40068752807129 1.38841232119076 1.23897333839689 1.45946010714751 1.45065152952635 1.22854054771 1.45597710602586 1.46856878795013 1.25685040990391 1.48073089081824 1.44067441209891 1.24441340508958 1.46035488982311 1.37920350631355 1.28561732448439 1.3956804039847 1.3886581562794 1.19452838158622 1.4047704068908 1.36007852142818 1.18895266916275 1.42304447117281 1.30589616830513 1.2417830376033 1.48195745966061 1.24102285050806 1.24187725800909 1.40809080547464 1.33979652851529 1.32812714068714 1.5467718903222 1.25611102865739
